"stateroute","spRich","ndvi.mean","nbcd.point","nbcd.mean","nbcd.var","file"
6032,92,0.394440579710145,0,0,0,"NBCD_MZ25_BAW_height.tif"
6063,42,0.193189488375768,0,0,0,"NBCD_MZ14_BAW_height.tif"
6063,42,0.193189488375768,0,0,0,"NBCD_MZ15_BAW_height.tif"
6069,30,0.272612054047899,0,0,0,"NBCD_MZ14_BAW_height.tif"
6069,30,0.272612054047899,0,0,0,"NBCD_MZ15_BAW_height.tif"
6070,53,0.288634795576606,0,0,0,"NBCD_MZ14_BAW_height.tif"
6070,53,0.288634795576606,0,0,0,"NBCD_MZ15_BAW_height.tif"
6071,57,0.323129468599034,0,0,0,"NBCD_MZ14_BAW_height.tif"
6071,57,0.323129468599034,0,0,0,"NBCD_MZ15_BAW_height.tif"
6074,49,0.249138458345976,51,16.8333333333333,680.166666666667,"NBCD_MZ13_BAW_height.tif"
6074,49,0.249138458345976,51,16.6666666666667,667.066666666667,"NBCD_MZ14_BAW_height.tif"
6078,66,0.355121917808219,0,0,0,"NBCD_MZ15_BAW_height.tif"
6078,66,0.355121917808219,0,0,0,"NBCD_MZ25_BAW_height.tif"
6079,42,0.327526470588235,140,153.142857142857,138.47619047619,"NBCD_MZ15_BAW_height.tif"
6083,55,0.308317142857143,0,0,0,"NBCD_MZ25_BAW_height.tif"
6115,53,0.50155619047619,124,83.1666666666667,4299.36666666667,"NBCD_MZ15_BAW_height.tif"
6121,59,0.299704285714286,0,0,0,"NBCD_MZ14_BAW_height.tif"
6121,59,0.299704285714286,0,0,0,"NBCD_MZ15_BAW_height.tif"
6122,94,0.365163809523809,0,0,0,"NBCD_MZ15_BAW_height.tif"
7001,67,0.834923233333333,166,142.666666666667,5386.26666666667,"NBCD_MZ37a_BAW_height.tif"
7004,72,0.824544286666667,0,0,0,"NBCD_MZ37a_BAW_height.tif"
7005,62,0.806529106666667,0,0,0,"NBCD_MZ37a_BAW_height.tif"
7007,59,0.780551853333333,0,26.6666666666667,4266.66666666667,"NBCD_MZ44_BAW_height.tif"
7012,70,0.83269558,0,0,0,"NBCD_MZ37a_BAW_height.tif"
7013,69,0.82688514,0,27.1666666666667,4428.16666666667,"NBCD_MZ44_BAW_height.tif"
7015,51,0.810334246666667,193,178.666666666667,95.8666666666667,"NBCD_MZ44_BAW_height.tif"
7020,67,0.83017342,0,42.1428571428571,5190.14285714286,"NBCD_MZ44_BAW_height.tif"
7021,72,0.812319433333333,0,68,5552.4,"NBCD_MZ44_BAW_height.tif"
7022,65,0.79167502,0,0,0,"NBCD_MZ44_BAW_height.tif"
7023,65,0.846635633333333,0,58.8,6490.7,"NBCD_MZ44_BAW_height.tif"
7024,65,0.756655873333333,0,0,0,"NBCD_MZ44_BAW_height.tif"
