"statenum","route","latitude","longitude","stateroute"
3,125,59.4439512,-139.5646039,3125
3,131,57.5333333,-152.45,3131
3,142,65.0544087,-146.0599662,3142
3,180,59.0346173,-158.5270562,3180
3,191,55.269419,-162.8976207,3191
3,192,58.6704647,-156.4585984,3192
3,212,62.2317426,-146.515638,3212
3,213,62.3970477,-150.262923,3213
3,216,60.7796745,-149.5527653,3216
3,217,61.6306207,-149.830079,3217
3,218,60.3668387,-151.371947,3218
3,219,59.4466527,-151.486467,3219
3,221,56.7395445,-132.7658694,3221
3,223,55.844263,-132.54334,3223
3,224,56.4599307,-132.3798899,3224
3,231,57.8128265,-152.6177,3231
3,284,64.7706568,-157.0287273,3284
3,313,62.3172987,-150.2366378,3313
3,318,60.5259627,-150.5656383,3318
3,319,59.6464107,-151.560698,3319
3,321,59.4178465,-139.0217497,3321
3,372,67.6695397,-149.71492,3372
3,401,61.4001417,-149.842437,3401
3,402,64.4875219,-165.3122783,3402
3,403,66.4417734,-150.6324337,3403
3,404,67.0166107,-150.29011,3404
3,405,64.5451414,-164.4368625,3405
3,406,64.0157146,-145.7282965,3406
3,407,64.0145247,-159.809447,3407
3,408,68.4265923,-149.3473217,3408
3,409,68.8572136,-148.8351789,3409
3,410,63.5963002,-158.0780083,3410
3,411,57.9218687,-135.0455629,3411
3,412,56.2075277,-133.0775149,3412
3,413,63.0461337,-146.0316309,3413
3,414,66.3335727,-152.9504467,3414
3,415,62.9510075,-155.5890429,3415
3,416,66.5800037,-151.942126,3416
3,417,61.5640897,-149.350356,3417
3,418,65.0076556,-150.6131749,3418
3,419,65.4883997,-148.65472,3419
3,420,63.6093407,-142.3235417,3420
3,421,63.583047,-157.8441809,3421
3,422,64.7776327,-165.9993285,3422
3,423,64.4609377,-155.523896,3423
3,424,64.61589,-165.3015102,3424
3,425,59.5294227,-135.3507079,3425
3,426,62.0526113,-163.1690916,3426
3,427,64.8314753,-166.0880717,3427
3,428,64.9122387,-147.942277,3428
3,429,56.3501108,-132.7665559,3429
3,430,66.6919918,-144.7314019,3430
3,431,63.856257,-145.7381802,3431
3,432,61.2964911,-149.7786148,3432
3,433,62.9209173,-160.6919837,3433
3,434,59.531682,-159.6936457,3434
3,435,57.8376397,-135.0598309,3435
3,436,60.8732615,-161.6032109,3436
3,437,60.6947613,-161.6098199,3437
3,438,67.8544008,-163.3028181,3438
3,439,55.9156605,-130.0162113,3439
3,440,62.9117822,-155.6186013,3440
3,442,59.8562241,-160.6818422,3442
3,444,66.9018584,-162.563881,3444
3,445,66.2372145,-152.1177445,3445
3,760,59.3271587,-161.028716,3760
3,811,67.1032427,-158.274781,3811
3,812,61.9166667,-147.6666667,3812
3,816,60.3856237,-149.68837,3816
3,817,61,-149,3817
3,821,59.4192119,-139.0259182,3821
3,822,57.1269767,-135.3478099,3822
3,824,56,-132,3824
3,825,59,-139,3825
3,832,61.2560417,-149.544356,3832
3,850,60.4652137,-145.3482303,3850
3,851,61.1264627,-146.358644,3851
3,880,59.2727127,-158.621354,3880
3,881,66.5989357,-159.1257,3881
3,882,66.5554507,-159.029436,3882
3,883,64.7399997,-156.966,3883
3,884,66.8910427,-162.553573,3884
3,891,55.1689487,-162.742293,3891
3,892,58.6712837,-156.459427,3892
3,901,63.0291587,-145.4974345,3901
3,902,62.4422837,-143.0712119,3902
3,903,61.5260959,-144.4072212,3903
3,905,61.4337187,-142.9452499,3905
3,906,56.6468465,-131.8566825,3906
3,907,56.7078365,-134.2423435,3907
4,1,49.93222,-110.84452,4001
4,2,49.87324,-111.4102,4002
4,3,49.08995,-112.39699,4003
4,4,49.81509,-113.56982,4004
4,5,49.6325,-114.58692,4005
4,6,50.74668,-110.25869,4006
4,7,50.56388,-111.84916,4007
4,8,50.30279,-112.02041,4008
4,9,50.60147,-113.02852,4009
4,10,50.48053,-114.42456,4010
4,11,51.00887,-110.7956,4011
4,12,51.32875,-111.07823,4012
4,13,51.77818,-112.64694,4013
4,14,51.21261,-113.77234,4014
4,15,51.83143,-114.45039,4015
4,16,51.09521,-115.09111,4016
4,17,51.46021,-116.22023,4017
4,18,52.46309,-110.65127,4018
4,19,52.20111,-111.07638,4019
4,20,52.17208,-112.33861,4020
4,21,52.20126,-113.22753,4021
4,22,52.02799,-114.47782,4022
4,23,52.49814,-116.00016,4023
4,24,52.25872,-116.39168,4024
4,25,52.73141,-117.63709,4025
4,26,53.49666,-110.86644,4026
4,27,53.71555,-111.52556,4027
4,28,53.33769,-112.78208,4028
4,29,53.68701,-113.88548,4029
4,30,53.16381,-114.22008,4030
4,31,53.80272,-115.26551,4031
4,32,53.59917,-116.40425,4032
4,33,53.3741,-117.71063,4033
4,34,53.81254,-118.48345,4034
4,36,54.0577,-110.8863,4036
4,37,54.26763,-111.2782,4037
4,38,54.49999,-112.97986,4038
4,39,54.83513,-113.15816,4039
4,40,54.12038,-114.71491,4040
4,41,54.76026,-115.53764,4041
4,42,54.13311,-116.21592,4042
4,43,54.76609,-117.24782,4043
4,44,54.75011,-118.22621,4044
4,45,54.93788,-119.19583,4045
4,46,55.55421,-110.90708,4046
4,47,55.00613,-111.73195,4047
4,48,55.38705,-112.45371,4048
4,49,55.486,-113.44,4049
4,50,55.49903,-114.91416,4050
4,51,55.25797,-115.38534,4051
4,52,55.5528,-116.78184,4052
4,53,55.78143,-117.82555,4053
4,54,55.84027,-118.45722,4054
4,55,55.1415,-119.21774,4055
4,57,56.23349,-111.67212,4057
4,61,56.28424,-115.36416,4061
4,62,56.3628,-117.00335,4062
4,63,56.27611,-117.82119,4063
4,64,56.50842,-118.73912,4064
4,65,56.19496,-119.8199,4065
4,73,57.06812,-117.61089,4073
4,77,59.98857,-111.83849,4077
