"siteID","NDVI","status","nSpp"
1,0.564633333333333,"breeder",34
2,0.821116666666667,"breeder",26
3,0.833216666666667,"breeder",44
4,0.775133333333333,"breeder",27
5,0.421216666666667,"breeder",25
6,0.725866666666667,"breeder",22
7,0.774783333333333,"breeder",20
8,0.80815,"breeder",29
9,0.722683333333333,"breeder",18
10,0.794983333333333,"breeder",14
11,0.733033333333333,"breeder",15
12,0.753725,"breeder",18
13,0.753108333333333,"breeder",17
14,0.809516666666667,"breeder",19
15,0.875566666666667,"breeder",22
16,0.825,"breeder",13
17,0.811433333333333,"breeder",7
18,0.804916666666667,"breeder",12
19,0.358775,"breeder",25
20,0.380483333333333,"breeder",22
21,0.4823,"breeder",31
22,0.751616666666667,"breeder",28
23,0.787283333333333,"breeder",38
24,0.6149,"breeder",24
25,0.744279166666667,"breeder",25
26,0.74665,"breeder",27
27,0.682283333333333,"breeder",36
28,0.850358333333333,"breeder",13
29,0.794116666666667,"breeder",12
30,0.8032,"breeder",24
31,0.807116666666667,"breeder",23
32,0.549816666666667,"breeder",43
33,0.549816666666667,"breeder",43
34,0.784816666666667,"breeder",40
35,0.713633333333333,"breeder",30
36,0.67195,"breeder",12
37,0.778408333333333,"breeder",29
38,0.7768,"breeder",29
39,0.828879166666667,"breeder",17
40,0.6662,"breeder",12
41,0.6662,"breeder",20
42,0.291266666666667,"breeder",13
43,0.320666666666667,"breeder",46
44,0.533208333333333,"breeder",25
45,0.751616666666667,"breeder",16
46,0.70905,"breeder",36
47,0.7274,"breeder",23
48,0.793266666666667,"breeder",30
49,0.583716666666667,"breeder",33
50,0.588379166666667,"breeder",12
51,0.788233333333333,"breeder",41
52,0.809516666666667,"breeder",14
53,0.7894,"breeder",28
54,0.729783333333333,"breeder",22
55,0.76905,"breeder",18
56,0.6389,"breeder",12
57,0.570266666666667,"breeder",13
58,0.591291666666667,"breeder",13
59,0.584533333333333,"breeder",22
60,0.576316666666667,"breeder",5
61,0.583766666666667,"breeder",10
62,0.487041666666667,"breeder",8
63,0.576316666666667,"breeder",2
64,0.487041666666667,"breeder",9
65,0.505766666666667,"breeder",9
66,0.594266666666667,"breeder",4
67,0.594266666666667,"breeder",6
68,0.2273,"breeder",12
69,0.2167,"breeder",3
70,0.236633333333333,"breeder",31
71,0.609325,"breeder",11
72,0.833216666666667,"breeder",44
73,0.61385,"breeder",19
74,0.565983333333333,"breeder",8
75,0.561258333333333,"breeder",6
76,0.7942,"breeder",9
77,0.826133333333333,"breeder",46
78,0.681616666666667,"breeder",27
79,0.731733333333333,"breeder",19
80,0.6868,"breeder",20
81,0.601833333333333,"breeder",2
82,0.713533333333333,"breeder",25
83,0.695966666666667,"breeder",25
84,0.748475,"breeder",34
85,0.589704166666667,"breeder",28
86,0.650766666666667,"breeder",36
87,0.592608333333333,"breeder",35
88,0.506633333333333,"breeder",28
89,0.545983333333333,"breeder",20
90,0.833216666666667,"breeder",53
91,0.800295833333333,"breeder",30
92,0.68955,"breeder",39
93,0.714954166666667,"breeder",43
94,0.778533333333333,"breeder",28
95,0.669733333333333,"breeder",38
96,0.819633333333333,"breeder",33
97,0.748133333333333,"breeder",19
98,0.573766666666667,"breeder",25
99,0.6987,"breeder",23
100,0.747525,"breeder",36
101,0.804716666666667,"breeder",24
102,0.709916666666667,"breeder",30
103,0.583383333333333,"breeder",37
104,0.788908333333333,"breeder",12
105,0.7229,"breeder",16
106,0.849233333333333,"breeder",19
107,0.711616666666667,"breeder",16
108,0.799116666666667,"breeder",34
109,0.805183333333333,"breeder",36
110,0.820716666666667,"breeder",20
111,0.738166666666667,"breeder",26
112,0.640433333333333,"breeder",24
113,0.7379,"breeder",10
114,0.592916666666667,"breeder",27
115,0.488666666666667,"breeder",12
116,0.779258333333333,"breeder",21
117,0.742,"breeder",22
118,0.180766666666667,"breeder",13
119,0.338966666666667,"breeder",36
120,0.5097,"breeder",18
121,0.608533333333333,"breeder",43
122,0.811633333333333,"breeder",29
123,0.811633333333333,"breeder",29
124,0.799241666666667,"breeder",33
125,0.615433333333333,"breeder",34
126,0.559183333333333,"breeder",18
127,0.566741666666667,"breeder",16
128,0.570675,"breeder",18
129,0.537233333333333,"breeder",18
130,0.583766666666667,"breeder",6
131,0.583766666666667,"breeder",6
132,0.576316666666667,"breeder",2
133,0.683833333333333,"breeder",11
134,0.757683333333333,"breeder",32
135,0.569966666666667,"breeder",23
136,0.6866,"breeder",17
137,0.697525,"breeder",28
138,0.694983333333333,"breeder",31
139,0.803883333333333,"breeder",36
140,0.803883333333333,"breeder",30
141,0.68745,"breeder",23
142,0.4611,"breeder",24
143,0.803683333333333,"breeder",31
144,0.783633333333333,"breeder",27
145,0.808116666666667,"breeder",34
146,0.69025,"breeder",32
147,0.719283333333333,"breeder",40
148,0.786425,"breeder",28
149,0.783829166666667,"breeder",19
150,0.8159,"breeder",27
151,0.496283333333333,"breeder",18
152,0.7472,"breeder",21
153,0.82105,"breeder",17
154,0.5831,"breeder",29
155,0.734016666666667,"breeder",28
156,0.657466666666667,"breeder",18
157,0.772879166666667,"breeder",23
158,0.455733333333333,"breeder",22
159,0.397341666666667,"breeder",21
160,0.577783333333333,"breeder",23
161,0.754166666666667,"breeder",28
162,0.724941666666667,"breeder",41
163,0.588816666666667,"breeder",14
164,0.778733333333333,"breeder",20
165,0.8359,"breeder",25
166,0.785516666666667,"breeder",23
167,0.374616666666667,"breeder",37
168,0.563075,"breeder",21
169,0.610833333333333,"breeder",26
170,0.713725,"breeder",27
171,0.559408333333333,"breeder",18
172,0.61185,"breeder",21
173,0.596070833333333,"breeder",9
174,0.765366666666667,"breeder",35
175,0.831391666666667,"breeder",33
176,0.739366666666667,"breeder",37
177,0.19155,"breeder",29
178,0.3162,"breeder",20
179,0.79285,"breeder",14
180,NA,"breeder",25
181,0.486333333333333,"breeder",28
182,0.53085,"breeder",20
183,0.69135,"breeder",19
184,0.702833333333333,"breeder",16
185,0.702833333333333,"breeder",12
186,0.702833333333333,"breeder",22
187,0.593841666666667,"breeder",27
188,0.822066666666667,"breeder",31
189,0.745866666666667,"breeder",21
190,0.783158333333333,"breeder",19
191,0.748133333333333,"breeder",22
192,0.612766666666667,"breeder",24
193,0.522016666666667,"breeder",26
194,0.799283333333333,"breeder",40
195,0.588616666666667,"breeder",17
196,0.743316666666667,"breeder",26
197,NA,"breeder",9
198,0.783383333333333,"breeder",20
199,0.44455,"breeder",23
200,0.615091666666667,"breeder",25
201,0.615091666666667,"breeder",26
202,0.723083333333333,"breeder",27
203,0.6664,"breeder",21
204,0.778866666666667,"breeder",20
205,0.82295,"breeder",24
206,0.574,"breeder",27
207,0.665783333333333,"breeder",28
208,0.814333333333333,"breeder",22
209,NA,"breeder",31
210,NA,"breeder",26
211,0.725458333333333,"breeder",33
212,0.77235,"breeder",35
213,0.836216666666667,"breeder",19
214,0.8096375,"breeder",14
215,0.7869,"breeder",18
216,0.776616666666667,"breeder",15
217,0.776616666666667,"breeder",28
218,NA,"breeder",10
219,NA,"breeder",11
