"xllcorner","yllcorner","cellsize","nrows","ncols","band","units","scale","latitude","longitude","site","product","start","end","complete","modis_date","calendar_date","tile","proc_date","pixel","value"
"-6078662.85","4636833.67","231.656358264",1,1,"250m_16_days_NDVI","NDVI ratio - No units","0.0001",41.7,-73.21667,"  4","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009193","2009-07-12","h12v04","2015192135920",1,8765
"-6078662.85","4636833.67","231.656358264",1,1,"250m_16_days_NDVI","NDVI ratio - No units","0.0001",41.7,-73.21667,"  4","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009209","2009-07-28","h12v04","2015192141938",1,8973
"-7276094.51","4655366.21","231.656358264",1,1,"250m_16_days_NDVI","NDVI ratio - No units","0.0001",41.86667,-87.86667,"  5","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009129","2009-05-09","h11v04","2015189212018",1,4584
"-7276094.51","4655366.21","231.656358264",1,1,"250m_16_days_NDVI","NDVI ratio - No units","0.0001",41.86667,-87.86667,"  5","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009145","2009-05-25","h11v04","2015190120415",1,3110
"-7276094.51","4655366.21","231.656358264",1,1,"250m_16_days_NDVI","NDVI ratio - No units","0.0001",41.86667,-87.86667,"  5","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009161","2009-06-10","h11v04","2015190221909",1,3787
"-7276094.51","4655366.21","231.656358264",1,1,"250m_16_days_NDVI","NDVI ratio - No units","0.0001",41.86667,-87.86667,"  5","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009177","2009-06-26","h11v04","2015191092759",1,3563
"-7276094.51","4655366.21","231.656358264",1,1,"250m_16_days_NDVI","NDVI ratio - No units","0.0001",41.86667,-87.86667,"  5","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009193","2009-07-12","h11v04","2015192141910",1,1955
"-7276094.51","4655366.21","231.656358264",1,1,"250m_16_days_NDVI","NDVI ratio - No units","0.0001",41.86667,-87.86667,"  5","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009209","2009-07-28","h11v04","2015192141949",1,2643
"-6668691.53","4332900.56","231.656358264",1,1,"250m_16_days_NDVI","NDVI ratio - No units","0.0001",38.96667,-77.13333,"  6","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009129","2009-05-09","h12v05","2015189212032",1,7770
"-6668691.53","4332900.56","231.656358264",1,1,"250m_16_days_NDVI","NDVI ratio - No units","0.0001",38.96667,-77.13333,"  6","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009145","2009-05-25","h12v05","2015190115454",1,7995
