"filename","siteID","class","n.patches","total.area","prop.landscape","patch.density","total.edge","edge.density","landscape.shape.index","largest.patch.index","mean.patch.area","sd.patch.area","min.patch.area","max.patch.area","perimeter.area.frac.dim","mean.perim.area.ratio","sd.perim.area.ratio","min.perim.area.ratio","max.perim.area.ratio","mean.shape.index","sd.shape.index","min.shape.index","max.shape.index","mean.frac.dim.index","sd.frac.dim.index","min.frac.dim.index","max.frac.dim.index","total.core.area","prop.landscape.core","mean.patch.core.area","sd.patch.core.area","min.patch.core.area","max.patch.core.area","prop.like.adjacencies","aggregation.index","lanscape.division.index","splitting.index","effective.mesh.size","patch.cohesion.index"
"classStat_nlcd_30x30_2001_bbc_1.csv","1",21,2,7,0.0972222222222222,0.0277777777777778,18,0.25,1.5,0.0694444444444444,3.5,2.12132034355964,2,5,5.43937012741779,2.7,0.424264068711929,2.4,3,1.1,0.141421356237309,1,1.2,1.26756869520714,0.138089036002427,1.16992500144231,1.36521238897197,0,0,0,0,0,0,0.217391304347826,62.5,0.994405864197531,178.758620689655,0.402777777777778,4.56339096667417
"classStat_nlcd_30x30_2001_bbc_1.csv","1",22,2,5,0.0694444444444444,0.0277777777777778,14,0.194444444444444,1.4,0.0555555555555556,2.5,2.12132034355964,1,4,6.05665947947295,3.25,1.06066017177982,2.5,4,1.125,0.176776695296637,1,1.25,1.32192809488736,NA,1.32192809488736,1.32192809488736,0,0,0,0,0,0,0.176470588235294,60,0.996720679012346,304.941176470588,0.236111111111111,4.41074434901121
"classStat_nlcd_30x30_2001_bbc_1.csv","1",23,1,2,0.0277777777777778,0.0138888888888889,6,0.0833333333333333,1,0.0277777777777778,2,NA,2,2,6.81369690625718,3,NA,3,3,1,NA,1,1,1.16992500144231,NA,1.16992500144231,1.16992500144231,0,0,0,NA,0,0,0.142857142857143,100,0.999228395061728,1296,0.0555555555555556,2.58375421949028
"classStat_nlcd_30x30_2001_bbc_1.csv","1",42,1,4,0.0555555555555556,0.0138888888888889,12,0.166666666666667,1.5,0.0555555555555556,4,NA,4,4,6.30110902110841,3,NA,3,3,1.5,NA,1.5,1.5,1.58496250072116,NA,1.58496250072116,1.58496250072116,0,0,0,NA,0,0,0.142857142857143,66.6666666666667,0.996913580246914,324,0.222222222222222,4.41074434901121
"classStat_nlcd_30x30_2001_bbc_1.csv","1",43,1,24,0.333333333333333,0.0138888888888889,28,0.388888888888889,1.4,0.333333333333333,24,NA,24,24,2.33613094934047,1.16666666666667,NA,1.16666666666667,1.16666666666667,1.4,NA,1.4,1.4,1.22459231525494,NA,1.22459231525494,1.22459231525494,4,0.0555555555555556,4,NA,4,4,0.548387096774194,89.4736842105263,0.888888888888889,9,8,7.02080985786545
"classStat_nlcd_30x30_2001_bbc_1.csv","1",52,1,5,0.0694444444444444,0.0138888888888889,12,0.166666666666667,1.2,0.0694444444444444,5,NA,5,5,4.97374319688148,2.4,NA,2.4,2.4,1.2,NA,1.2,1.2,1.36521238897197,NA,1.36521238897197,1.36521238897197,0,0,0,NA,0,0,0.25,80,0.995177469135803,207.36,0.347222222222222,4.87639901971757
"classStat_nlcd_30x30_2001_bbc_1.csv","1",71,3,25,0.347222222222222,0.0416666666666667,44,0.611111111111111,2.2,0.291666666666667,8.33333333333333,11.0151410945722,1,21,3.55165629672931,2.73015873015873,1.23931563783766,1.52380952380952,4,1.2,0.346410161513776,1,1.6,1.31394049966232,0.0736536459627893,1.26185950714291,1.36602149218172,0,0,0,0,0,0,0.388888888888889,71.7948717948718,0.913001543209877,11.4944567627494,6.26388888888889,6.80697496625876
"classStat_nlcd_30x30_2001_bbc_10.csv","10",21,1,8,0.106666666666667,0.0133333333333333,24,0.32,2,0.106666666666667,8,NA,8,8,6.10084879684084,3,NA,3,3,2,NA,2,2,1.7233083338141,NA,1.7233083338141,1.7233083338141,0,0,0,NA,0,0,0.142857142857143,40,0.988622222222222,87.890625,0.853333333333333,5.71801384615187
"classStat_nlcd_30x30_2001_bbc_10.csv","10",41,1,54,0.72,0.0133333333333333,50,0.666666666666667,1.66666666666667,0.72,54,NA,54,54,1.85147422922963,0.925925925925926,NA,0.925925925925926,0.925925925925926,1.66666666666667,NA,1.66666666666667,1.66666666666667,1.26635184038085,NA,1.26635184038085,1.26635184038085,12,0.16,12,NA,12,12,0.62406015037594,89.247311827957,0.4816,1.92901234567901,38.88,7.64160666700488
"classStat_nlcd_30x30_2001_bbc_10.csv","10",42,1,2,0.0266666666666667,0.0133333333333333,6,0.08,1,0.0266666666666667,2,NA,2,2,6.81369690625718,3,NA,3,3,1,NA,1,1,1.16992500144231,NA,1.16992500144231,1.16992500144231,0,0,0,NA,0,0,0.142857142857143,100,0.999288888888889,1406.25,0.0533333333333333,2.590728230683
