"Common_name","Scientific_name","Synonyms","Alt_common_names","SISRecID","genus","species","species_id","aou","english_common_name","sporder","family","nHabitats1","nHabitats2","index","major","marginal","suitable","weighted","Tol","OMI","volume"
"Mourning Dove","Zenaida macroura","","American Mourning Dove",22690736,"Zenaida","macroura",158,3160,"Mourning Dove","Columbiformes","Columbidae",4,8,0.588235294117647,1,0,7,2.125,1.491715815,0.684421295,2.76838175834495
"Yellow-billed Cuckoo","Coccyzus americanus","","",22684331,"Coccyzus","americanus",164,3870,"Yellow-billed Cuckoo","Cuculiformes","Cuculidae",3,5,0.764705882352941,1,0,4,2.2,0.851683359,3.178531019,1.6968442703365
"Black-billed Cuckoo","Coccyzus erythropthalmus","","",22684328,"Coccyzus","erythropthalmus",166,3880,"Black-billed Cuckoo","Cuculiformes","Cuculidae",2,4,0.823529411764706,0,0,4,2,0.490991142,1.518615149,0.700845415828726
"unknown",NA,NA,NA,NA,"Coccyzus","americanus / erythropthalmus",167,3875,"unid. Yellow-billed Cuckoo / Black-billed Cuckoo","Cuculiformes","Cuculidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.436546340114097
"Greater Roadrunner","Geococcyx californianus","","",22684458,"Geococcyx","californianus",172,3850,"Greater Roadrunner","Cuculiformes","Cuculidae",3,4,0.823529411764706,1,0,3,2.25,0.879396299,6.085618212,0.896299389324577
"Black Swift","Cypseloides niger","Nephoecetes niger","",22686440,"Cypseloides","niger",195,4220,"Black Swift","Apodiformes","Apodidae",3,3,0.882352941176471,2,0,1,2.66666666666667,0.798051067,7.951771324,0.689212526766416
"Chimney Swift","Chaetura pelagica","","",22686709,"Chaetura","pelagica",200,4230,"Chimney Swift","Apodiformes","Apodidae",2,2,0.941176470588235,0,0,2,2,0.983107587,2.398865991,1.71234719636357
"Vaux's Swift","Chaetura vauxi","","",22733935,"Chaetura","vauxi",201,4240,"Vaux's Swift","Apodiformes","Apodidae",2,4,0.823529411764706,1,0,3,2.25,1.228910191,5.462253569,0.972379596143781
"White-throated Swift","Aeronautes saxatalis","","",22686733,"Aeronautes","saxatalis",205,4250,"White-throated Swift","Apodiformes","Apodidae",5,5,0.764705882352941,2,0,3,2.4,1.041328137,6.658332956,1.34179000820594
"Ruby-throated Hummingbird","Archilochus colubris","","",22688193,"Archilochus","colubris",231,4280,"Ruby-throated Hummingbird","Apodiformes","Trochilidae",2,4,0.823529411764706,1,0,3,2.25,0.511032705,1.548242336,1.41820277848497
"Black-chinned Hummingbird","Archilochus alexandri","","",22688196,"Archilochus","alexandri",232,4290,"Black-chinned Hummingbird","Apodiformes","Trochilidae",2,5,0.764705882352941,2,0,3,2.4,1.162245665,4.693542545,2.011881754967
"unknown",NA,NA,NA,NA,"Archilochus","colubris / alexandri",233,4295,"unid. Ruby-throated / Black-chinned Hummingbird","Apodiformes","Trochilidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anna's Hummingbird","Calypte anna","","",22688199,"Calypte","anna",234,4310,"Anna's Hummingbird","Apodiformes","Trochilidae",4,7,0.647058823529412,2,0,5,2.28571428571429,0.402562632,5.360472648,1.03354431588174
"Costa's Hummingbird","Calypte costae","","",22688202,"Calypte","costae",235,4300,"Costa's Hummingbird","Apodiformes","Trochilidae",3,3,0.882352941176471,2,0,1,2.66666666666667,NA,NA,NA
"Broad-tailed Hummingbird","Selasphorus platycercus","","",22688293,"Selasphorus","platycercus",238,4320,"Broad-tailed Hummingbird","Apodiformes","Trochilidae",4,6,0.705882352941176,3,0,3,2.5,0.702572913,13.97683455,1.01665960533677
"Rufous Hummingbird","Selasphorus rufus","","",22688296,"Selasphorus","rufus",239,4330,"Rufous Hummingbird","Apodiformes","Trochilidae",2,2,0.941176470588235,1,0,1,2.5,1.419376303,6.68509845,0.897016861109853
"unknown",NA,NA,NA,NA,"Trochilid","sp.",242,4402,"unid. Hummingbird","Apodiformes","Trochilidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.16658890270755
"Calliope Hummingbird","Selasphorus calliope","Stellula calliope","",22688232,"Selasphorus","calliope",243,4360,"Calliope Hummingbird","Apodiformes","Trochilidae",3,5,0.764705882352941,2,0,3,2.4,0.515851638,5.348712212,0.6532842263345
"American Black Vulture","Coragyps atratus","","",22697624,"Coragyps","atratus",609,3260,"Black Vulture","Cathartiformes","Cathartidae",4,9,0.529411764705882,1,0,8,2.11111111111111,NA,NA,0.761147492773737
"Turkey Vulture","Cathartes aura","","",22697627,"Cathartes","aura",610,3250,"Turkey Vulture","Cathartiformes","Cathartidae",5,9,0.529411764705882,0,0,9,2,NA,NA,2.79296750408332
"unknown",NA,NA,NA,NA,"Coragyps / Cathartes","atratus / aura",612,3255,"unid. Black Vulture / Turkey Vulture","Accipitriformes","Cathartidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Osprey","Pandion haliaetus","","Balbuzard pêcheur",22694938,"Pandion","haliaetus",615,3640,"Osprey","Accipitriformes","Pandionidae",5,15,0.176470588235294,0,0,15,2,NA,NA,3.01629437350915
"Swallow-tailed Kite","Elanoides forficatus","","",22695017,"Elanoides","forficatus",618,3270,"Swallow-tailed Kite","Accipitriformes","Accipitridae",1,4,0.823529411764706,1,0,3,2.25,NA,NA,0.166076528265019
"Mississippi Kite","Ictinia mississippiensis","","",22695066,"Ictinia","mississippiensis",622,3290,"Mississippi Kite","Accipitriformes","Accipitridae",3,4,0.823529411764706,0,0,4,2,NA,NA,0.743417666722816
"Bald Eagle","Haliaeetus leucocephalus","","",22695144,"Haliaeetus","leucocephalus",625,3520,"Bald Eagle","Accipitriformes","Accipitridae",5,11,0.411764705882353,1,0,10,2.09090909090909,NA,NA,2.50689110770111
"Hen Harrier","Circus cyaneus","","",22727733,"Circus","cyaneus",629,3310,"Northern Harrier","Accipitriformes","Accipitridae",5,7,0.647058823529412,0,0,7,2,NA,NA,2.08891928940235
"Sharp-shinned Hawk","Accipiter striatus","","",22734130,"Accipiter","striatus",631,3320,"Sharp-shinned Hawk","Accipitriformes","Accipitridae",4,9,0.529411764705882,0,0,9,2,NA,NA,2.11397667053042
"Cooper's Hawk","Accipiter cooperii","","",22695656,"Accipiter","cooperii",632,3330,"Cooper's Hawk","Accipitriformes","Accipitridae",1,4,0.823529411764706,0,0,4,2,NA,NA,2.61075738437455
"Northern Goshawk","Accipiter gentilis","","Goshawk, Eurasian Goshawk, Autour des palombes",22695683,"Accipiter","gentilis",634,3340,"Northern Goshawk","Accipitriformes","Accipitridae",3,4,0.823529411764706,1,0,3,2.25,NA,NA,1.19462774930385
"unknown",NA,NA,NA,NA,"Accipiter","sp.",635,3333,"unid. Accipiter Hawk","Accipitriformes","Accipitridae",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.92559536681459
"Harris's Hawk","Parabuteo unicinctus","","",22695838,"Parabuteo","unicinctus",641,3350,"Harris's Hawk","Accipitriformes","Accipitridae",3,4,0.823529411764706,1,0,3,2.25,NA,NA,NA
"Red-shouldered Hawk","Buteo lineatus","","",22695883,"Buteo","lineatus",645,3390,"Red-shouldered Hawk","Accipitriformes","Accipitridae",2,3,0.882352941176471,0,0,3,2,NA,NA,1.5355100499786
"Broad-winged Hawk","Buteo platypterus","","",22695891,"Buteo","platypterus",646,3430,"Broad-winged Hawk","Accipitriformes","Accipitridae",2,3,0.882352941176471,1,0,2,2.33333333333333,NA,NA,1.39286558899172
"Short-tailed Hawk","Buteo brachyurus","","",22695897,"Buteo","brachyurus",647,3440,"Short-tailed Hawk","Accipitriformes","Accipitridae",2,6,0.705882352941176,1,0,5,2.16666666666667,NA,NA,NA
"Swainson's Hawk","Buteo swainsoni","","",22695903,"Buteo","swainsoni",648,3420,"Swainson's Hawk","Accipitriformes","Accipitridae",3,6,0.705882352941176,1,0,5,2.16666666666667,NA,NA,1.94081888348054
"Red-tailed Hawk","Buteo jamaicensis","","",22695933,"Buteo","jamaicensis",650,3370,"Red-tailed Hawk","Accipitriformes","Accipitridae",5,11,0.411764705882353,0,0,11,2,NA,NA,2.97403966823163
"Ferruginous Hawk","Buteo regalis","","",22695970,"Buteo","regalis",653,3480,"Ferruginous Hawk","Accipitriformes","Accipitridae",3,3,0.882352941176471,1,0,2,2.33333333333333,NA,NA,1.32499978838919
"unknown",NA,NA,NA,NA,"Buteo","sp.",654,3451,"unid. Buteo hawk","Accipitriformes","Accipitridae",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.73740871849045
