"stateroute","mean_ndvi","year"
2001,0.815,2000
2006,0.821666666666667,2000
2007,0.862083333333333,2000
2014,0.85625,2000
2017,0.814583333333333,2000
2019,0.845416666666667,2000
2020,0.8675,2000
2021,0.83875,2000
2022,0.765833333333333,2000
2023,0.827916666666667,2000
2024,0.802916666666667,2000
2025,0.785416666666667,2000
2026,0.8175,2000
2027,0.822083333333333,2000
2029,0.790416666666667,2000
2031,0.78875,2000
2033,0.820416666666667,2000
2034,0.79375,2000
2035,0.779166666666667,2000
2036,0.826666666666667,2000
2038,0.804166666666667,2000
2039,0.816666666666667,2000
2043,0.84625,2000
2045,0.822916666666667,2000
2047,0.804583333333333,2000
2048,0.785,2000
2050,0.814166666666667,2000
2051,0.8075,2000
2052,0.853333333333333,2000
2053,0.794166666666667,2000
2055,0.802083333333333,2000
2057,0.80875,2000
2059,0.84,2000
2060,0.820833333333333,2000
2061,0.815833333333333,2000
2063,0.809583333333333,2000
2065,0.810833333333333,2000
2066,0.8125,2000
2067,0.8025,2000
2068,0.746666666666667,2000
2072,0.821666666666667,2000
2102,0.858333333333333,2000
2105,0.83,2000
2109,0.809583333333333,2000
2111,0.812916666666667,2000
2140,0.649583333333333,2000
2142,0.795833333333333,2000
2156,0.797083333333333,2000
2164,0.834166666666667,2000
2201,0.86125,2000
2205,0.829583333333333,2000
2207,0.8175,2000
2212,0.779583333333333,2000
2214,0.828333333333333,2000
2218,0.798333333333333,2000
6012,0.565416666666667,2000
6014,0.67625,2000
6017,0.626666666666667,2000
6018,0.57,2000
6020,0.589166666666667,2000
6024,0.566666666666667,2000
6025,0.582083333333333,2000
6028,0.652083333333333,2000
6032,0.680416666666667,2000
6063,0.57375,2000
6069,0.583333333333333,2000
6070,0.776666666666667,2000
6071,0.61375,2000
6074,0.67,2000
6078,0.638333333333333,2000
6079,0.79875,2000
6083,0.638333333333333,2000
6115,0.7725,2000
6121,0.644166666666667,2000
6122,0.626666666666667,2000
7001,0.83125,2000
7004,0.844583333333333,2000
7005,0.840833333333333,2000
7007,0.854166666666667,2000
7012,0.85875,2000
7013,0.877083333333333,2000
7015,0.8725,2000
7020,0.8625,2000
7021,0.80625,2000
7022,0.822083333333333,2000
7023,0.867916666666667,2000
7024,0.751666666666667,2000
7026,0.86625,2000
7027,0.865,2000
7028,0.9,2000
7029,0.88,2000
7103,0.85875,2000
7109,0.760416666666667,2000
7114,0.865416666666667,2000
14001,0.85125,2000
14003,0.79625,2000
14006,0.86125,2000
14014,0.666666666666667,2000
14015,0.748333333333333,2000
14016,0.722083333333333,2000
14018,0.814583333333333,2000
14021,0.77375,2000
14030,0.60625,2000
14031,0.561666666666667,2000
14036,0.57125,2000
14054,0.712083333333333,2000
14062,0.579166666666667,2000
14071,0.819583333333333,2000
14074,0.912916666666667,2000
14076,0.67,2000
14077,0.880416666666667,2000
14080,0.80625,2000
14082,0.729166666666667,2000
14088,0.561666666666667,2000
14097,0.753333333333333,2000
14098,0.755,2000
14106,0.782916666666667,2000
14108,0.80875,2000
14140,0.649583333333333,2000
14153,0.7675,2000
14155,0.8275,2000
14156,0.8725,2000
14162,0.64625,2000
14164,0.8875,2000
14166,0.777916666666667,2000
14168,0.79875,2000
14173,0.699166666666667,2000
