"xllcorner","yllcorner","cellsize","nrows","ncols","band","units","scale","latitude","longitude","site","product","start","end","complete","modis_date","calendar_date","tile","proc_date","pixel","value"
"-6668691.53","4332900.56","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",38.96667,-77.13333,"  6","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009161","2009-06-10","h12v05","2015190221819",1,5722
"-6668691.53","4332900.56","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",38.96667,-77.13333,"  6","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009177","2009-06-26","h12v05","2015191094858",1,4291
"-6668691.53","4332900.56","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",38.96667,-77.13333,"  6","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009193","2009-07-12","h12v05","2015192140827",1,5103
"-6668691.53","4332900.56","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",38.96667,-77.13333,"  6","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009209","2009-07-28","h12v05","2015192141836",1,5854
"-6242907.19","4811039.29","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",43.26667,-77.1,"  7","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009129","2009-05-09","h12v04","2015189212107",1,4899
"-6242907.19","4811039.29","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",43.26667,-77.1,"  7","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009145","2009-05-25","h12v04","2015190122258",1,5922
"-6242907.19","4811039.29","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",43.26667,-77.1,"  7","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009161","2009-06-10","h12v04","2015190223549",1,6718
"-6242907.19","4811039.29","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",43.26667,-77.1,"  7","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009177","2009-06-26","h12v04","2015191095942",1,6679
"-6242907.19","4811039.29","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",43.26667,-77.1,"  7","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009193","2009-07-12","h12v04","2015192135920",1,6656
"-6242907.19","4811039.29","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",43.26667,-77.1,"  7","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009209","2009-07-28","h12v04","2015192141938",1,6438
"-6206305.56","4818452.22","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",43.33333,-76.73333,"  8","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009129","2009-05-09","h12v04","2015189212107",1,4211
"-6206305.56","4818452.22","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",43.33333,-76.73333,"  8","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009145","2009-05-25","h12v04","2015190122258",1,4721
"-6206305.56","4818452.22","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",43.33333,-76.73333,"  8","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009161","2009-06-10","h12v04","2015190223549",1,2813
"-6206305.56","4818452.22","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",43.33333,-76.73333,"  8","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009177","2009-06-26","h12v04","2015191095942",1,5197
"-6206305.56","4818452.22","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",43.33333,-76.73333,"  8","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009193","2009-07-12","h12v04","2015192135920",1,3609
"-6206305.56","4818452.22","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",43.33333,-76.73333,"  8","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009209","2009-07-28","h12v04","2015192141938",1,6074
"-6260281.37","4811039.29","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",43.26667,-77.31667,"  9","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009129","2009-05-09","h12v04","2015189212107",1,6685
"-6260281.37","4811039.29","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",43.26667,-77.31667,"  9","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009145","2009-05-25","h12v04","2015190122258",1,7129
"-6260281.37","4811039.29","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",43.26667,-77.31667,"  9","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009161","2009-06-10","h12v04","2015190223549",1,7351
"-6260281.37","4811039.29","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",43.26667,-77.31667,"  9","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009177","2009-06-26","h12v04","2015191095942",1,6072
"-6260281.37","4811039.29","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",43.26667,-77.31667,"  9","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009193","2009-07-12","h12v04","2015192135920",1,5356
"-6260281.37","4811039.29","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",43.26667,-77.31667,"  9","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009209","2009-07-28","h12v04","2015192141938",1,5728
"-6204915.63","4818452.22","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",43.33333,-76.71667," 10","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009129","2009-05-09","h12v04","2015189212107",1,2880
"-6204915.63","4818452.22","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",43.33333,-76.71667," 10","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009145","2009-05-25","h12v04","2015190122258",1,5375
"-6204915.63","4818452.22","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",43.33333,-76.71667," 10","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009161","2009-06-10","h12v04","2015190223549",1,6271
