"iteration","ndvi.mean","FGObs","Sobs","FGNull"
1,0.7914,14,73,15
2,0.7914,14,73,14
3,0.7914,14,73,15
4,0.7914,14,73,15
5,0.7914,14,73,16
6,0.7914,14,73,13
7,0.7914,14,73,14
8,0.7914,14,73,15
9,0.7914,14,73,15
10,0.7914,14,73,15
11,0.7914,14,73,13
12,0.7914,14,73,14
13,0.7914,14,73,17
14,0.7914,14,73,17
15,0.7914,14,73,16
16,0.7914,14,73,15
17,0.7914,14,73,14
18,0.7914,14,73,13
19,0.7914,14,73,15
20,0.7914,14,73,15
21,0.7914,14,73,12
22,0.7914,14,73,14
23,0.7914,14,73,14
24,0.7914,14,73,14
25,0.7914,14,73,16
26,0.7914,14,73,15
27,0.7914,14,73,16
28,0.7914,14,73,11
29,0.7914,14,73,15
30,0.7914,14,73,15
31,0.7914,14,73,14
32,0.7914,14,73,17
33,0.7914,14,73,14
34,0.7914,14,73,14
35,0.7914,14,73,15
36,0.7914,14,73,16
37,0.7914,14,73,13
38,0.7914,14,73,16
39,0.7914,14,73,16
40,0.7914,14,73,17
41,0.7914,14,73,15
42,0.7914,14,73,14
43,0.7914,14,73,18
44,0.7914,14,73,13
45,0.7914,14,73,16
46,0.7914,14,73,16
47,0.7914,14,73,17
48,0.7914,14,73,15
49,0.7914,14,73,14
50,0.7914,14,73,15
51,0.7914,14,73,17
52,0.7914,14,73,18
53,0.7914,14,73,15
54,0.7914,14,73,15
55,0.7914,14,73,16
56,0.7914,14,73,15
57,0.7914,14,73,16
58,0.7914,14,73,16
59,0.7914,14,73,15
60,0.7914,14,73,15
61,0.7914,14,73,16
62,0.7914,14,73,15
63,0.7914,14,73,13
64,0.7914,14,73,14
65,0.7914,14,73,15
66,0.7914,14,73,15
67,0.7914,14,73,15
68,0.7914,14,73,17
69,0.7914,14,73,16
70,0.7914,14,73,15
71,0.7914,14,73,15
72,0.7914,14,73,16
73,0.7914,14,73,16
74,0.7914,14,73,14
75,0.7914,14,73,16
76,0.7914,14,73,14
77,0.7914,14,73,15
78,0.7914,14,73,16
79,0.7914,14,73,14
80,0.7914,14,73,13
81,0.7914,14,73,15
82,0.7914,14,73,14
83,0.7914,14,73,13
84,0.7914,14,73,15
85,0.7914,14,73,15
86,0.7914,14,73,14
87,0.7914,14,73,14
88,0.7914,14,73,15
89,0.7914,14,73,15
90,0.7914,14,73,14
91,0.7914,14,73,13
92,0.7914,14,73,13
93,0.7914,14,73,13
94,0.7914,14,73,16
95,0.7914,14,73,19
96,0.7914,14,73,16
97,0.7914,14,73,16
98,0.7914,14,73,18
99,0.7914,14,73,15
100,0.7914,14,73,13
1,0.817139218670725,14,69,17
2,0.817139218670725,14,69,16
3,0.817139218670725,14,69,16
4,0.817139218670725,14,69,15
5,0.817139218670725,14,69,15
6,0.817139218670725,14,69,18
7,0.817139218670725,14,69,15
8,0.817139218670725,14,69,14
9,0.817139218670725,14,69,17
10,0.817139218670725,14,69,14
11,0.817139218670725,14,69,14
12,0.817139218670725,14,69,17
13,0.817139218670725,14,69,16
14,0.817139218670725,14,69,16
15,0.817139218670725,14,69,11
16,0.817139218670725,14,69,16
17,0.817139218670725,14,69,17
18,0.817139218670725,14,69,14
19,0.817139218670725,14,69,14
20,0.817139218670725,14,69,15
21,0.817139218670725,14,69,15
22,0.817139218670725,14,69,15
23,0.817139218670725,14,69,15
24,0.817139218670725,14,69,14
25,0.817139218670725,14,69,15
26,0.817139218670725,14,69,14
27,0.817139218670725,14,69,13
28,0.817139218670725,14,69,15
29,0.817139218670725,14,69,15
30,0.817139218670725,14,69,17
31,0.817139218670725,14,69,15
32,0.817139218670725,14,69,14
33,0.817139218670725,14,69,17
34,0.817139218670725,14,69,14
35,0.817139218670725,14,69,15
36,0.817139218670725,14,69,15
37,0.817139218670725,14,69,14
38,0.817139218670725,14,69,15
39,0.817139218670725,14,69,15
40,0.817139218670725,14,69,16
41,0.817139218670725,14,69,15
42,0.817139218670725,14,69,16
43,0.817139218670725,14,69,14
44,0.817139218670725,14,69,14
45,0.817139218670725,14,69,14
46,0.817139218670725,14,69,12
47,0.817139218670725,14,69,16
48,0.817139218670725,14,69,14
49,0.817139218670725,14,69,14
50,0.817139218670725,14,69,16
51,0.817139218670725,14,69,16
52,0.817139218670725,14,69,15
53,0.817139218670725,14,69,15
54,0.817139218670725,14,69,16
55,0.817139218670725,14,69,15
