"xllcorner","yllcorner","cellsize","nrows","ncols","band","units","scale","latitude","longitude","site","product","start","end","complete","modis_date","calendar_date","tile","proc_date","pixel","value"
"-8034305.74","3719937.84","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",33.45496,-86.60109," 2014","MOD13Q1","2000-05-01","2000-07-31",TRUE,"A2000193","2000-07-11","h10v05","2015138073647",1,5242
"-8034305.74","3719937.84","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",33.45496,-86.60109," 2014","MOD13Q1","2000-05-01","2000-07-31",TRUE,"A2000209","2000-07-27","h10v05","2015138074433",1,5307
"-8065116.11","3727814.12","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",33.52632,-87.00446," 2017","MOD13Q1","2000-05-01","2000-07-31",TRUE,"A2000129","2000-05-08","h10v05","2015137052354",1,5168
"-8065116.11","3727814.12","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",33.52632,-87.00446," 2017","MOD13Q1","2000-05-01","2000-07-31",TRUE,"A2000145","2000-05-24","h10v05","2015137094842",1,5720
"-8065116.11","3727814.12","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",33.52632,-87.00446," 2017","MOD13Q1","2000-05-01","2000-07-31",TRUE,"A2000161","2000-06-09","h10v05","2015137044136",1,5389
"-8065116.11","3727814.12","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",33.52632,-87.00446," 2017","MOD13Q1","2000-05-01","2000-07-31",TRUE,"A2000177","2000-06-25","h10v05","2015138073649",1,5616
"-8065116.11","3727814.12","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",33.52632,-87.00446," 2017","MOD13Q1","2000-05-01","2000-07-31",TRUE,"A2000193","2000-07-11","h10v05","2015138073647",1,4775
"-8065116.11","3727814.12","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",33.52632,-87.00446," 2017","MOD13Q1","2000-05-01","2000-07-31",TRUE,"A2000209","2000-07-27","h10v05","2015138074433",1,5494
"-8177932.73","3722254.36","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",33.47655,-88.17122," 2019","MOD13Q1","2000-05-01","2000-07-31",TRUE,"A2000129","2000-05-08","h10v05","2015137052354",1,4854
"-8177932.73","3722254.36","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",33.47655,-88.17122," 2019","MOD13Q1","2000-05-01","2000-07-31",TRUE,"A2000145","2000-05-24","h10v05","2015137094842",1,6051
"-8177932.73","3722254.36","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",33.47655,-88.17122," 2019","MOD13Q1","2000-05-01","2000-07-31",TRUE,"A2000161","2000-06-09","h10v05","2015137044136",1,6023
"-8177932.73","3722254.36","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",33.47655,-88.17122," 2019","MOD13Q1","2000-05-01","2000-07-31",TRUE,"A2000177","2000-06-25","h10v05","2015138073649",1,5635
"-8177932.73","3722254.36","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",33.47655,-88.17122," 2019","MOD13Q1","2000-05-01","2000-07-31",TRUE,"A2000193","2000-07-11","h10v05","2015138073647",1,5538
"-8177932.73","3722254.36","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",33.47655,-88.17122," 2019","MOD13Q1","2000-05-01","2000-07-31",TRUE,"A2000209","2000-07-27","h10v05","2015138074433",1,5663
"-8316463.27","3572604.39","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",32.13072,-88.31727," 2020","MOD13Q1","2000-05-01","2000-07-31",TRUE,"A2000129","2000-05-08","h10v05","2015137052354",1,4743
"-8316463.27","3572604.39","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",32.13072,-88.31727," 2020","MOD13Q1","2000-05-01","2000-07-31",TRUE,"A2000145","2000-05-24","h10v05","2015137094842",1,5918
"-8316463.27","3572604.39","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",32.13072,-88.31727," 2020","MOD13Q1","2000-05-01","2000-07-31",TRUE,"A2000161","2000-06-09","h10v05","2015137044136",1,5474
"-8316463.27","3572604.39","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",32.13072,-88.31727," 2020","MOD13Q1","2000-05-01","2000-07-31",TRUE,"A2000177","2000-06-25","h10v05","2015138073649",1,4659
