"stateroute","ndvi.mean","nbcd.point","nbcd.mean","nbcd.var","file"
2070,0.523306734779893,0,25.6666666666667,3952.66666666667,"NBCD_MZ46_BAW_height.tif"
2071,0.777094685990338,0,0,0,"NBCD_MZ48_BAW_height.tif"
2072,0.766960656436488,0,0,0,"NBCD_MZ48_BAW_height.tif"
2073,0.827019523809524,0,42.75,7310.25,"NBCD_MZ48_BAW_height.tif"
2102,0.78601471116639,0,0,0,"NBCD_MZ48_BAW_height.tif"
2105,0.807057687793427,0,0,0,"NBCD_MZ48_BAW_height.tif"
2109,0.796056510632422,196,166.833333333333,7054.96666666667,"NBCD_MZ48_BAW_height.tif"
2111,0.822494520547945,0,55.6666666666667,7485.46666666667,"NBCD_MZ48_BAW_height.tif"
2111,0.822494520547945,0,46.1666666666667,5151.36666666667,"NBCD_MZ54_BAW_height.tif"
2137,0.788056855428739,182,132,7768,"NBCD_MZ46_BAW_height.tif"
2140,0.450263263777448,150,148.5,3.1,"NBCD_MZ46_BAW_height.tif"
2141,0.583447169097573,0,0,0,"NBCD_MZ46_BAW_height.tif"
2142,0.582107705612958,0,33.2,5511.2,"NBCD_MZ46_BAW_height.tif"
2156,0.816990540540541,0,0,0,"NBCD_MZ48_BAW_height.tif"
2162,0.818013242009133,0,0,0,"NBCD_MZ48_BAW_height.tif"
2162,0.818013242009133,0,0,0,"NBCD_MZ54_BAW_height.tif"
2164,0.812267647058823,0,101.4,9002.3,"NBCD_MZ54_BAW_height.tif"
2201,0.821918785863328,145,150.75,18.9166666666667,"NBCD_MZ46_BAW_height.tif"
2203,0.776130882352941,0,0,0,"NBCD_MZ48_BAW_height.tif"
2204,0.818590277777778,0,0,0,"NBCD_MZ48_BAW_height.tif"
2205,0.817031904761905,0,109.166666666667,7342.16666666667,"NBCD_MZ46_BAW_height.tif"
2206,0.814323223443223,211,93.8333333333333,10728.9666666667,"NBCD_MZ48_BAW_height.tif"
